,name,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20
0,pca_none,0.14525756702212236,0.16932888126090911,0.1770661038689421,0.14323435645540813,0.12142638834467501,0.12322321522647074,0.1318231542077334,0.12311731270993134,0.1229693348921428,0.11757516562045532,0.11724893440632846,0.10815415134768468,0.10875285393923051,0.10624409904349892,0.10968020960024678,0.10215752103655355,0.10710663250698245,0.1105794999712217,0.11115151521472987
1,pca_2,0.4163055163617591,0.5031341601912163,0.42683162361149846,0.37777105186904814,0.3612947943600681,0.3527247490583004,0.3333286868569171,0.3429227054149931,0.34002073228469665,0.3289340392881314,0.3258932162687101,0.32620805684044224,0.3229216483441243,0.32443413002711524,0.3290350942016569,0.3275810244159071,0.323560261995915,0.3268901172585035,0.32782756933333623
2,pca_3,0.3149420949729944,0.37036532847466885,0.3133552700905341,0.2909262513181541,0.2822212213766136,0.2709532382311238,0.269063064081727,0.25302531113012344,0.2430520114374653,0.24318145941575367,0.24259484199913106,0.239360971219824,0.2383669263677444,0.23817116143039707,0.23831455596658843,0.23379379993871724,0.23200980331421042,0.2341551122778244,0.2311357543644249
3,pca_4,0.26492498848478324,0.31348776232171455,0.25256682679471254,0.24846732521949677,0.24605300847728767,0.23777852911905373,0.22732009090590194,0.22287163850803926,0.20649217783572735,0.20363492313105794,0.20306262445920473,0.20317524426448919,0.20145134996027733,0.19768955028009152,0.19608187409410582,0.1988430023462356,0.19945082598267444,0.19613023689034614,0.19564529787178941
