,Week Positon,Instance,Previous Week Position,Peak Position,Weeks on Chart,Duration (ms),Explicit,Danceability,Energy,Loudness (db),Acousticness,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Popularity
count,24280.0,24280.0,20649.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0,24280.0
mean,44.50181219110379,1.0578665568369028,43.40181122572522,44.50181219110379,7.2481054365733115,220527.69695222404,0.11960461285008238,0.5997755766062602,0.6181149786243821,-8.665138797364087,0.2948501221499176,0.0734968410214168,0.032544125142092255,0.19219120140032947,0.6018448970345964,120.27266556836902,41.20889621087315
std,30.34344366598144,0.31919633520699814,29.995207524554914,30.34344366598144,5.028742351068651,65247.86111166929,0.3245052950102622,0.15315731288748538,0.19911589092376952,3.6026134754458488,0.28234343835372744,0.08306725703789525,0.13629976175271497,0.15914628213242102,0.23862737622018731,28.042603419188875,22.468947391243827
min,1.0,1.0,1.0,1.0,1.0,29688.0,0.0,0.0,0.000581,-28.03,2.51e-06,0.0,0.0,0.00967,0.0,0.0,0.0
25%,16.0,1.0,15.0,16.0,3.0,174996.5,0.0,0.499,0.476,-11.03525,0.0468,0.0321,0.0,0.0909,0.415,99.06225,23.0
50%,43.0,1.0,41.0,43.0,7.0,214826.0,0.0,0.608,0.634,-8.205,0.195,0.0413,4.53e-06,0.131,0.622,118.917,43.0
75%,71.0,1.0,69.0,71.0,10.0,253200.0,0.0,0.708,0.778,-5.856,0.508,0.0682,0.000458,0.249,0.802,136.48325,59.0
max,100.0,10.0,100.0,100.0,56.0,1561133.0,1.0,0.988,0.997,2.291,0.991,0.951,0.982,0.999,0.991,241.009,100.0
